companyid,companyname,ticker,price,p_l,p_vp,p_ebit,p_ativo,ev_ebit,margembruta,margemebit,margemliquida,p_sr,p_capitalgiro,p_ativocirculante,giroativos,roe,roa,roic,dividaliquidapatrimonioliquido,dividaliquidaebit,pl_ativo,passivo_ativo,liquidezcorrente,peg_ratio,receitas_cagr5,liquidezmediadiaria,vpa,lpa,valormercado,segmentid,sectorid,subsectorid,subsectorname,segmentname,sectorname,dy,lucros_cagr5
299,CIA BRASILEIRA DE DISTRIBUICAO,PCAR3,3.6,-1.3,0.66,-8.97,0.1,-22.51,27.42,-1.02,-7.06,0.09,-0.87,-0.13,1.06,-50.45,-7.47,-20.88,0.99,-13.54,0.15,0.85,0.7,0.08,-19.8,31726848.24,5.48,-2.76,1766869063.2,47,3,19,Comércio e Distribuição,Alimentos,Consumo não Cíclico,,
299,CIA BRASILEIRA DE DISTRIBUICAO,PCAR4,72.11,-26.1,13.17,-179.65,1.95,-22.51,27.42,-1.02,-7.06,1.84,-17.41,-2.66,1.06,-50.45,-7.47,-20.88,0.99,-13.54,0.15,0.85,0.7,1.68,-19.8,,5.48,-2.76,1766869063.2,47,3,19,Comércio e Distribuição,Alimentos,Consumo não Cíclico,,
239,PDG REALTY S.A. EMPREEND E PARTICIPACOES,PDGR3,1.48,-0.03,0.0,-0.11,0.01,-9.37,28.38,-44.26,-181.12,0.05,-0.01,-0.03,0.2,-5.25,-35.45,1.52,,-9.26,-6.76,7.91,0.34,0.0,-16.76,482071.62,-1035.83,-54.35,4865479.28,23,2,9,Construção Civil,Incorporações,Consumo Cíclico,,
370,PADTEC HOLDING S.A.,PDTC3,1.28,5.78,0.82,4.43,0.16,15.24,95.94,118.52,90.78,5.25,0.43,-0.38,0.03,14.26,2.79,5.34,2.01,10.81,0.2,0.8,2.97,-0.03,,93302.38,1.55,0.22,101721121.28,62,4,28,Serviços Financeiros Diversos,Serviços Financeiros Diversos,Financeiro e Outros,,26.45
320,CIA PARTICIPACOES ALIANCA DA BAHIA,PEAB3,37.15,20.58,0.74,23.25,0.53,23.66,53.55,25.17,28.45,5.85,3.8,-0.64,0.09,3.61,2.56,2.49,0.0,-0.15,0.71,0.29,4.51,-4.55,-26.42,26152.0,50.03,1.81,690094834.18,53,4,23,Holdings Diversificadas,Holdings Diversificadas,Financeiro e Outros,3.18,-6.41
320,CIA PARTICIPACOES ALIANCA DA BAHIA,PEAB4,38.99,21.6,0.78,24.4,0.55,23.66,53.55,25.17,28.45,6.14,3.99,-0.67,0.09,3.61,2.56,2.49,0.0,-0.15,0.71,0.29,4.51,-4.77,-26.42,14741.29,50.03,1.81,690094834.18,53,4,23,Holdings Diversificadas,Holdings Diversificadas,Financeiro e Outros,3.34,-6.41
408,PETROLEO BRASILEIRO S.A. PETROBRAS,PETR3,32.12,5.34,0.98,3.18,0.34,5.52,48.15,26.52,15.77,0.84,-12.54,-0.39,0.41,18.33,6.4,7.19,0.74,2.41,0.35,0.65,0.82,-0.63,10.18,380084172.95,32.81,6.01,404672578925.23,76,6,35,Petróleo. Gás e Biocombustíveis,Exploração. Refino e Distribuição,Petróleo. Gás e Biocombustíveis,10.19,14.07
408,PETROLEO BRASILEIRO S.A. PETROBRAS,PETR4,30.41,5.06,0.93,3.01,0.32,5.52,48.15,26.52,15.77,0.8,-11.88,-0.37,0.41,18.33,6.4,7.19,0.74,2.41,0.35,0.65,0.82,-0.6,10.18,1166477391.95,32.81,6.01,404672578925.23,76,6,35,Petróleo. Gás e Biocombustíveis,Exploração. Refino e Distribuição,Petróleo. Gás e Biocombustíveis,10.76,14.07
627,PET CENTER COMERCIO E PARTICIPACOES S.A.,PETZ3,4.18,517.36,1.1,15.58,0.48,14.92,47.16,3.45,0.1,0.54,2.97,-0.78,0.89,0.21,0.09,5.31,-0.05,-0.66,0.44,0.56,1.71,-16.0,27.5,43602318.43,3.8,0.01,1885764823.8,21,2,8,Comércio,Produtos Diversos,Consumo Cíclico,,-31.16
419,PROFARMA DISTRIB PROD FARMACEUTICOS S.A.,PFRM3,9.14,9.78,0.82,3.58,0.2,5.25,14.97,2.8,1.03,0.1,1.26,-0.67,2.0,8.35,2.05,11.63,0.38,1.67,0.25,0.7,1.29,1.28,16.16,2543881.19,11.19,0.93,1131648745.22,77,7,36,Comércio e Distribuição,Medicamentos e Outros Produtos,Saúde,6.69,57.39
